openalex_id,title,publication_year,cited_by_count,fwci,citation_percentile,is_oa,authorship_count,institution_count,country_count,referenced_works_count,related_works_count,primary_topic,topic_field,topic_domain,award_count,funder_count,funders,doi
https://openalex.org/W4281790889,ColabFold: making protein folding accessible to all,2022,9536,772.8734,1.0,True,6,10,6,35,10,Genomics and Phylogenetic Studies,"Biochemistry, Genetics and Molecular Biology",Life Sciences,9,9,Bundesministerium für Bildung und Forschung; Georg-August-Universität Göttingen; Japan Agency for Medical Research and Development; Max-Planck-Gesellschaft; National Institutes of Health; National Research Foundation; National Research Foundation of Korea; National Science Foundation; Seoul National University,https://doi.org/10.1038/s41592-022-01488-1
https://openalex.org/W3175231742,The Myth of Artificial Intelligence: Why Computers Can't Think the Way We Do,2021,118,24.265,0.99656954,False,1,0,0,0,10,Big Data and Business Intelligence,"Business, Management and Accounting",Social Sciences,0,0,,https://doi.org/10.56315/pscf12-21larson
https://openalex.org/W3140854437,"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions",2021,7460,458.107,1.0,True,10,11,5,362,10,Advanced Neural Network Applications,Computer Science,Physical Sciences,0,1,Queensland University of Technology,https://doi.org/10.1186/s40537-021-00444-8
https://openalex.org/W4213248781,Challenges of microRNA‐based biomarkers in clinical application for cardiovascular diseases,2022,52,4.1408,0.95603424,True,5,8,2,11,10,MicroRNA in disease regulation,"Biochemistry, Genetics and Molecular Biology",Life Sciences,6,2,Fonds National de la Recherche Luxembourg; Instituto de Salud Carlos III,https://doi.org/10.1002/ctm2.585
https://openalex.org/W4282961270,Landscape Analysis of the Application of Artificial Intelligence and Machine Learning in Regulatory Submissions for Drug Development From 2016 to 2021,2022,81,6.2179,0.97615514,True,13,26,1,4,10,Biosimilars and Bioanalytical Methods,Immunology and Microbiology,Life Sciences,0,0,,https://doi.org/10.1002/cpt.2668
https://openalex.org/W4400879144,Challenges and Opportunities with Antibiotic Discovery and Exploratory Research,2024,17,3.5842,0.93639299,False,3,3,1,5,10,Metabolomics and Mass Spectrometry Studies,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0,0,,https://doi.org/10.1021/acsinfecdis.4c00530
https://openalex.org/W4327946446,"ChatGPT Utility in Healthcare Education, Research, and Practice: Systematic Review on the Promising Perspectives and Valid Concerns",2023,2668,96.2947,0.99953354,True,1,2,1,114,10,Artificial Intelligence in Healthcare and Education,Medicine,Health Sciences,0,0,,https://doi.org/10.3390/healthcare11060887
https://openalex.org/W4392365483,"Forest fire management, funding dynamics, and research in the burning frontier: A comprehensive review",2024,31,8.2195,0.98287393,True,5,6,1,112,10,Fire effects on ecosystems,Environmental Science,Physical Sciences,0,0,,https://doi.org/10.1016/j.tfp.2024.100526
https://openalex.org/W4391064610,IUPHAR Review: New strategies for medications to treat substance use disorders,2024,19,4.5891,0.95328489,True,2,2,1,87,10,Neurotransmitter Receptor Influence on Behavior,Neuroscience,Life Sciences,0,1,National Institute on Drug Abuse,https://doi.org/10.1016/j.phrs.2024.107078
https://openalex.org/W3182706339,"The coefficient of determination R-squared is more informative than SMAPE, MAE, MAPE, MSE and RMSE in regression analysis evaluation",2021,4737,581.098,0.99995172,True,3,3,3,105,10,Advanced Statistical Methods and Models,Mathematics,Physical Sciences,0,0,,https://doi.org/10.7717/peerj-cs.623
